File Name	Global RMSD (Å)	Chai Score
extendlen_25_cycle_2_3_sample2.cif	10.6127	0.1611
extendlen_39_cycle_2_5_sample2.cif	18.1923	0.1544
extendlen_25_cycle_4_7_sample1.cif	11.6121	0.1576
extendlen_38_cycle_3_9_sample2.cif	10.2267	0.1590
extendlen_25_cycle_1_6_sample1.cif	10.0356	0.1676
extendlen_38_cycle_3_5_sample1.cif	17.6691	0.1421
extendlen_36_cycle_4_1_sample2.cif	10.8816	0.1517
extendlen_34_cycle_5_8_sample2.cif	12.3573	0.1545
extendlen_26_cycle_5_0_sample2.cif	10.2389	0.1619
extendlen_31_cycle_5_2_sample1.cif	10.9083	0.1554
extendlen_26_cycle_3_0_sample2.cif	10.3446	0.1703
extendlen_38_cycle_3_4_sample2.cif	10.5713	0.1670
extendlen_27_cycle_3_2_sample1.cif	10.7927	0.1629
extendlen_25_cycle_3_6_sample1.cif	9.2714	0.1696
extendlen_38_cycle_2_8_sample2.cif	8.9293	0.1659
extendlen_32_cycle_3_9_sample2.cif	12.2396	0.1580
extendlen_27_cycle_5_1_sample2.cif	10.8808	0.1594
extendlen_25_cycle_4_8_sample1.cif	11.1569	0.1528
extendlen_31_cycle_4_9_sample2.cif	10.3210	0.1603
extendlen_30_cycle_4_8_sample1.cif	10.9865	0.1582
extendlen_34_cycle_5_9_sample1.cif	10.5645	0.1687
extendlen_28_cycle_3_0_sample1.cif	8.4247	0.1747
extendlen_38_cycle_5_9_sample1.cif	10.9387	0.1582
extendlen_31_cycle_4_2_sample1.cif	9.7535	0.1653
extendlen_38_cycle_5_2_sample2.cif	11.6318	0.1516
extendlen_35_cycle_5_1_sample2.cif	12.5336	0.1661
extendlen_26_cycle_1_8_sample2.cif	11.3564	0.1609
extendlen_28_cycle_4_5_sample2.cif	11.7053	0.1675
extendlen_38_cycle_3_6_sample1.cif	10.8683	0.1740
extendlen_25_cycle_4_0_sample2.cif	10.9364	0.1667
extendlen_39_cycle_3_5_sample1.cif	10.5079	0.1591
extendlen_25_cycle_2_1_sample2.cif	11.0812	0.1660
extendlen_33_cycle_1_3_sample2.cif	11.0401	0.1578
extendlen_31_cycle_1_1_sample1.cif	10.0515	0.1598
extendlen_36_cycle_2_3_sample2.cif	12.8136	0.1543
extendlen_28_cycle_3_7_sample2.cif	10.0252	0.1611
extendlen_31_cycle_4_8_sample1.cif	10.9689	0.1665
extendlen_33_cycle_3_4_sample2.cif	10.7695	0.1644
extendlen_28_cycle_3_2_sample2.cif	10.4637	0.1394
extendlen_31_cycle_5_2_sample2.cif	10.1186	0.1524
extendlen_33_cycle_3_5_sample1.cif	10.4287	0.1634
extendlen_36_cycle_1_5_sample1.cif	12.2424	0.1441
