PDB_File	Non_MainChain_H-Bonds	Total_H-Bonds	MainChain_H-Bonds	Close_Atoms	Cap_BSA	Body_BSA	bsa
extendlen_30_cycle_2_1_sample2_with_h.pdb	6	24	18	216	3677.61669921875	3026.935546875	95.052734375
extendlen_27_cycle_4_7_sample1_with_h.pdb	7	27	20	183	2868.953125	2836.51025390625	115.92529296875
extendlen_36_cycle_2_6_sample1_with_h.pdb	11	35	24	199	4188.6806640625	3542.077392578125	102.162353515625
extendlen_26_cycle_3_0_sample2_with_h.pdb	7	21	14	212	2970.328369140625	2704.908203125	161.407958984375
extendlen_27_cycle_4_5_sample1_with_h.pdb	5	23	18	173	3033.7919921875	2767.354248046875	70.119873046875
extendlen_26_cycle_3_7_sample1_with_h.pdb	6	20	14	173	2981.07421875	2694.448486328125	108.716064453125
extendlen_33_cycle_3_4_sample2_with_h.pdb	6	23	17	104	3394.876953125	3373.220947265625	88.429443359375
extendlen_28_cycle_4_5_sample2_with_h.pdb	10	25	15	181	3066.651123046875	2796.573974609375	168.4375
extendlen_31_cycle_5_6_sample1_with_h.pdb	6	27	21	51	3039.0009765625	3088.23876953125	58.92431640625
extendlen_33_cycle_4_8_sample1_with_h.pdb	7	30	23	170	3291.807373046875	3294.01025390625	124.889404296875
extendlen_32_cycle_5_5_sample2_with_h.pdb	4	23	19	220	3042.378173828125	3279.2216796875	187.419189453125
extendlen_33_cycle_3_4_sample2_with_h.pdb	6	23	17	104	3394.876953125	3373.220947265625	88.429443359375
extendlen_26_cycle_1_6_sample2_with_h.pdb	8	25	17	127	3003.05224609375	2593.72216796875	78.00634765625
extendlen_26_cycle_3_6_sample2_with_h.pdb	4	16	12	119	3358.32568359375	2773.3564453125	59.36962890625
extendlen_28_cycle_1_0_sample2_with_h.pdb	10	26	16	171	3194.82958984375	2979.81884765625	117.84521484375
extendlen_37_cycle_1_2_sample1_with_h.pdb	6	26	20	145	4113.69873046875	3652.3857421875	143.23828125
